id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_4785,"Ganci Akrilik","Bahan: GANCI AKRILIK 3MM (18CM) 1 SISI",http://localhost/voliko/wp-content/uploads/2023/04/GANCI-AKRILIK.png,http://localhost/voliko/product/gantungan-kunci/?attribute_bahan=GANCI+AKRILIK+3MM+%2818CM%29+1+SISI,"Gantungan Kunci Akrilik, Marchandise &amp; Aksesoris","Voliko Digital Printing",10000IDR,in stock,wc_post_id_4778,,,,0,new,published,,,,,,,
wc_post_id_4784,"Ganci Akrilik","Bahan: GANCI AKRILIK 3MM (25CM) 1 SISI",http://localhost/voliko/wp-content/uploads/2023/04/GANCI-AKRILIK.png,http://localhost/voliko/product/gantungan-kunci/?attribute_bahan=GANCI+AKRILIK+3MM+%2825CM%29+1+SISI,"Gantungan Kunci Akrilik, Marchandise &amp; Aksesoris","Voliko Digital Printing",12500IDR,in stock,wc_post_id_4778,,,,0,new,published,,,,,,,
wc_post_id_4783,"Ganci Akrilik","Bahan: GANCI AKRILIK 3MM (35CM) 1 SISI",http://localhost/voliko/wp-content/uploads/2023/04/GANCI-AKRILIK.png,http://localhost/voliko/product/gantungan-kunci/?attribute_bahan=GANCI+AKRILIK+3MM+%2835CM%29+1+SISI,"Gantungan Kunci Akrilik, Marchandise &amp; Aksesoris","Voliko Digital Printing",15000IDR,in stock,wc_post_id_4778,,,,0,new,published,,,,,,,
wc_post_id_4782,"Ganci Akrilik","Bahan: GANCI AKRILIK 3MM (18CM) 2 SISI",http://localhost/voliko/wp-content/uploads/2023/04/GANCI-AKRILIK.png,http://localhost/voliko/product/gantungan-kunci/?attribute_bahan=GANCI+AKRILIK+3MM+%2818CM%29+2+SISI,"Gantungan Kunci Akrilik, Marchandise &amp; Aksesoris","Voliko Digital Printing",15000IDR,in stock,wc_post_id_4778,,,,0,new,published,,,,,,,
wc_post_id_4781,"Ganci Akrilik","Bahan: GANCI AKRILIK 3MM (25CM) 2 SISI",http://localhost/voliko/wp-content/uploads/2023/04/GANCI-AKRILIK.png,http://localhost/voliko/product/gantungan-kunci/?attribute_bahan=GANCI+AKRILIK+3MM+%2825CM%29+2+SISI,"Gantungan Kunci Akrilik, Marchandise &amp; Aksesoris","Voliko Digital Printing",17500IDR,in stock,wc_post_id_4778,,,,0,new,published,,,,,,,
wc_post_id_4780,"Ganci Akrilik","Bahan: GANCI AKRILIK 3MM (35CM) 2 SISI",http://localhost/voliko/wp-content/uploads/2023/04/GANCI-AKRILIK.png,http://localhost/voliko/product/gantungan-kunci/?attribute_bahan=GANCI+AKRILIK+3MM+%2835CM%29+2+SISI,"Gantungan Kunci Akrilik, Marchandise &amp; Aksesoris","Voliko Digital Printing",20000IDR,in stock,wc_post_id_4778,,,,0,new,published,,,,,,,
wc_post_id_4777,"Stiker Vinyl Blockout","Kualitas Cetak: Print Outdoor, Bahan: Stiker Vinyl Blockout",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-blockout/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+Vinyl+Blockout,"Large Stiker, Stiker Vinyl Blockout","Voliko Digital Printing",80000IDR,in stock,wc_post_id_4771,,,,0,new,published,,,,,,,
wc_post_id_4776,"Stiker Vinyl Blockout","Kualitas Cetak: Print Outdoor, Bahan: Stiker Vinyl Blockout Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-blockout/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+Vinyl+Blockout+Express,"Large Stiker, Stiker Vinyl Blockout","Voliko Digital Printing",120000IDR,in stock,wc_post_id_4771,,,,0,new,published,,,,,,,
wc_post_id_4775,"Stiker Vinyl Blockout","Kualitas Cetak: Print Indoor, Bahan: Stiker Vinyl Blockout",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-blockout/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+Vinyl+Blockout,"Large Stiker, Stiker Vinyl Blockout","Voliko Digital Printing",90000IDR,in stock,wc_post_id_4771,,,,0,new,published,,,,,,,
wc_post_id_4774,"Stiker Vinyl Blockout","Kualitas Cetak: Print Indoor, Bahan: Stiker Vinyl Blockout Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-blockout/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+Vinyl+Blockout+Express,"Large Stiker, Stiker Vinyl Blockout","Voliko Digital Printing",135000IDR,in stock,wc_post_id_4771,,,,0,new,published,,,,,,,
wc_post_id_4770,"Stiker One Way","Kualitas Cetak: Print Outdoor, Bahan: Stiker One Way Vision",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-one-way/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+One+Way+Vision,"Large Stiker, Stiker One Way","Voliko Digital Printing",80000IDR,in stock,wc_post_id_4766,,,,0,new,published,,,,,,,
wc_post_id_4769,"Stiker One Way","Kualitas Cetak: Print Outdoor, Bahan: Stiker One Way Vision Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-one-way/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+One+Way+Vision+Express,"Large Stiker, Stiker One Way","Voliko Digital Printing",120000IDR,in stock,wc_post_id_4766,,,,0,new,published,,,,,,,
wc_post_id_4768,"Stiker One Way","Kualitas Cetak: Print Indoor, Bahan: Stiker One Way Vision",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-one-way/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+One+Way+Vision,"Large Stiker, Stiker One Way","Voliko Digital Printing",95000IDR,in stock,wc_post_id_4766,,,,0,new,published,,,,,,,
wc_post_id_4767,"Stiker One Way","Kualitas Cetak: Print Indoor",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-one-way/?attribute_kualitas-cetak=Print+Indoor,"Large Stiker, Stiker One Way","Voliko Digital Printing",95000IDR,in stock,wc_post_id_4766,,,,0,new,published,,,,,,,
wc_post_id_4765,"Stiker Vinyl Transparant","Kualitas Cetak: Print Outdoor, Bahan: Stiker Vinyl Transparant",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-transparant/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+Vinyl+Transparant,"Large Stiker, Stiker Vinyl Transparant","Voliko Digital Printing",75000IDR,in stock,wc_post_id_4761,,,,0,new,published,,,,,,,
wc_post_id_4764,"Stiker Vinyl Transparant","Kualitas Cetak: Print Outdoor, Bahan: Stiker Vynil Transparant Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-transparant/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+Vynil+Transparant+Express,"Large Stiker, Stiker Vinyl Transparant","Voliko Digital Printing",112500IDR,in stock,wc_post_id_4761,,,,0,new,published,,,,,,,
wc_post_id_4763,"Stiker Vinyl Transparant","Kualitas Cetak: Print Indoor, Bahan: Stiker Vinyl Transparant",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-transparant/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+Vinyl+Transparant,"Large Stiker, Stiker Vinyl Transparant","Voliko Digital Printing",90000IDR,in stock,wc_post_id_4761,,,,0,new,published,,,,,,,
wc_post_id_4762,"Stiker Vinyl Transparant","Kualitas Cetak: Print Indoor, Bahan: Stiker Vynil Transparant Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-transparant/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+Vynil+Transparant+Express,"Large Stiker, Stiker Vinyl Transparant","Voliko Digital Printing",135000IDR,in stock,wc_post_id_4761,,,,0,new,published,,,,,,,
wc_post_id_4760,"Stiker Vinyl Ritrama","Kualitas Cetak: Print Outdoor, Bahan: Stiker Vinyl Ritrama",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-ritrama/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+Vinyl+Ritrama,"Large Stiker, Stiker Vinyl Ritrama","Voliko Digital Printing",70000IDR,in stock,wc_post_id_4755,,,,0,new,published,,,,,,,
wc_post_id_4759,"Stiker Vinyl Ritrama","Kualitas Cetak: Print Outdoor, Bahan: Stiker Vinyl Ritrama Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-ritrama/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+Vinyl+Ritrama+Express,"Large Stiker, Stiker Vinyl Ritrama","Voliko Digital Printing",105000IDR,in stock,wc_post_id_4755,,,,0,new,published,,,,,,,
wc_post_id_4758,"Stiker Vinyl Ritrama","Kualitas Cetak: Print Indoor, Bahan: Stiker Vinyl Ritrama",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-ritrama/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+Vinyl+Ritrama,"Large Stiker, Stiker Vinyl Ritrama","Voliko Digital Printing",85000IDR,in stock,wc_post_id_4755,,,,0,new,published,,,,,,,
wc_post_id_4757,"Stiker Vinyl Ritrama","Kualitas Cetak: Print Indoor, Bahan: Stiker Vinyl Ritrama Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker-1.png,http://localhost/voliko/product/stiker-vinyl-ritrama/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+Vinyl+Ritrama+Express,"Large Stiker, Stiker Vinyl Ritrama","Voliko Digital Printing",127500IDR,in stock,wc_post_id_4755,,,,0,new,published,,,,,,,
wc_post_id_4754,"Stiker Vinyl China","Kualitas Cetak: Print Indoor, Bahan: Stiker Vinyl China",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker.png,http://localhost/voliko/product/stiker-vinyl-china/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+Vinyl+China,"Large Stiker, Stiker Vinyl China","Voliko Digital Printing",65000IDR,in stock,wc_post_id_4749,,,,0,new,published,,,,,,,
wc_post_id_4753,"Stiker Vinyl China","Kualitas Cetak: Print Indoor, Bahan: Stiker Vinyl China Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker.png,http://localhost/voliko/product/stiker-vinyl-china/?attribute_kualitas-cetak=Print+Indoor&attribute_bahan=Stiker+Vinyl+China+Express,"Large Stiker, Stiker Vinyl China","Voliko Digital Printing",95700IDR,in stock,wc_post_id_4749,,,,0,new,published,,,,,,,
wc_post_id_4752,"Stiker Vinyl China","Kualitas Cetak: Print Outdoor, Bahan: Stiker Vinyl China",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker.png,http://localhost/voliko/product/stiker-vinyl-china/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+Vinyl+China,"Large Stiker, Stiker Vinyl China","Voliko Digital Printing",60000IDR,in stock,wc_post_id_4749,,,,0,new,published,,,,,,,
wc_post_id_4751,"Stiker Vinyl China","Kualitas Cetak: Print Outdoor, Bahan: Stiker Vinyl China Express",http://localhost/voliko/wp-content/uploads/2023/04/Large-Stiker.png,http://localhost/voliko/product/stiker-vinyl-china/?attribute_kualitas-cetak=Print+Outdoor&attribute_bahan=Stiker+Vinyl+China+Express,"Large Stiker, Stiker Vinyl China","Voliko Digital Printing",90000IDR,in stock,wc_post_id_4749,,,,0,new,published,,,,,,,
wc_post_id_4747,"Tripod Banner","Bahan: Tripod 50X75 1 Sisi",http://localhost/voliko/wp-content/uploads/2023/04/T-Banner.png,http://localhost/voliko/product/tripod-banner/?attribute_bahan=Tripod+50X75+1+Sisi,"Spanduk | Banner | Sign, Tripod Banner","Voliko Digital Printing",320000IDR,in stock,wc_post_id_4745,,,,0,new,published,,,,,,,
wc_post_id_4746,"Tripod Banner","Bahan: Tripod 60X80 1 Sisi",http://localhost/voliko/wp-content/uploads/2023/04/T-Banner.png,http://localhost/voliko/product/tripod-banner/?attribute_bahan=Tripod+60X80+1+Sisi,"Spanduk | Banner | Sign, Tripod Banner","Voliko Digital Printing",340000IDR,in stock,wc_post_id_4745,,,,0,new,published,,,,,,,
wc_post_id_4743,"Y-Banner","Bahan: Y Banner - Albatros 60x160",http://localhost/voliko/wp-content/uploads/2023/04/Y-Banner.png,http://localhost/voliko/product/y-banner/?attribute_bahan=Y+Banner+-+Albatros+60x160,"Spanduk | Banner | Sign, Y-Banner","Voliko Digital Printing",130000IDR,in stock,wc_post_id_4737,,,,0,new,published,,,,,,,
wc_post_id_4742,"Y-Banner","Bahan: Y Banner - F280 60X160",http://localhost/voliko/wp-content/uploads/2023/04/Y-Banner.png,http://localhost/voliko/product/y-banner/?attribute_bahan=Y+Banner+-+F280+60X160,"Spanduk | Banner | Sign, Y-Banner","Voliko Digital Printing",55000IDR,in stock,wc_post_id_4737,,,,0,new,published,,,,,,,
wc_post_id_4741,"Y-Banner","Bahan: Y Banner F340 60X160",http://localhost/voliko/wp-content/uploads/2023/04/Y-Banner.png,http://localhost/voliko/product/y-banner/?attribute_bahan=Y+Banner+F340+60X160,"Spanduk | Banner | Sign, Y-Banner","Voliko Digital Printing",65000IDR,in stock,wc_post_id_4737,,,,0,new,published,,,,,,,
wc_post_id_4740,"Y-Banner","Bahan: Y Banner - Korea 60X160",http://localhost/voliko/wp-content/uploads/2023/04/Y-Banner.png,http://localhost/voliko/product/y-banner/?attribute_bahan=Y+Banner+-+Korea+60X160,"Spanduk | Banner | Sign, Y-Banner","Voliko Digital Printing",75000IDR,in stock,wc_post_id_4737,,,,0,new,published,,,,,,,
wc_post_id_4739,"Y-Banner","Bahan: Y Banner - Luster 60X160",http://localhost/voliko/wp-content/uploads/2023/04/Y-Banner.png,http://localhost/voliko/product/y-banner/?attribute_bahan=Y+Banner+-+Luster+60X160,"Spanduk | Banner | Sign, Y-Banner","Voliko Digital Printing",130000IDR,in stock,wc_post_id_4737,,,,0,new,published,,,,,,,
